id;tenant_id;user_id;customer_code;store_code;status;is_deleted;create_user;create_dept;create_time;update_user;update_time
1379622601871667201;000000;1370194517618167809;SZZX001;GZ001;1;1;1370194082995998721;1370188686411534338;2021/04/07 10:30:35.000000000;1370194517618167809;2021/04/25 15:47:47.000000000
1381537000582025218;000000;1370194517618167809;XJSZ001;SZ001;1;0;1370194517618167809;1370188686411534338;2021/04/12 17:17:43.000000000;1370194517618167809;2021/04/12 17:17:43.000000000
1381912083733417986;000000;1370194517618167809;XJSZ002;SZ001;1;0;1370194517618167809;1370188686411534338;2021/04/13 18:08:10.000000000;1370194517618167809;2021/04/13 18:08:10.000000000
1382271932933607426;000000;1370194517618167809;XJSZ001;cktest1;1;0;1370194517618167809;1370188686411534338;2021/04/14 17:58:05.000000000;1370194517618167809;2021/04/14 17:58:05.000000000
1382871718258806785;000000;1370191526483824641;XJSZ001;cktest1;1;0;1370194517618167809;1370188686411534338;2021/04/16 09:41:25.000000000;1370194517618167809;2021/04/16 09:41:25.000000000
1382897703612059650;000000;1370191526483824641;XJSZ002;cktest1;1;0;1370191526483824641;1370188686411534338;2021/04/16 11:24:40.000000000;1370191526483824641;2021/04/16 11:24:40.000000000
1385428487686328322;000000;1370194082995998721;SZZX001;SZ001;1;1;1370194082995998721;1370188686411534338;2021/04/23 11:01:06.000000000;1370194517618167809;2021/04/29 11:27:31.000000000
1385428666271404033;000000;1370194082995998721;XJSZ004;GZ001;1;1;1370194082995998721;1370188686411534338;2021/04/23 11:01:49.000000000;1370194517618167809;2021/04/29 11:27:44.000000000
1385428753299017729;000000;1370194082995998721;XJSZ003;SZ001;1;1;1370194082995998721;1370188686411534338;2021/04/23 11:02:09.000000000;1370194517618167809;2021/04/29 11:27:42.000000000
1385534876479918081;000000;1370194517618167809;XJGZ001;GZ001;1;1;1370194517618167809;1370188686411534338;2021/04/23 18:03:51.000000000;1370194517618167809;2021/04/29 11:27:55.000000000
1387019412174802945;000000;1370191076070100993;XJSZ002;cktest1;1;1;1370194517618167809;1370188686411534338;2021/04/27 20:22:52.000000000;1123598821738675201;2021/04/29 16:31:10.000000000
1387019824206450690;000000;1370191526483824641;XJGZ001;cktest1;1;1;1370194517618167809;1370188686411534338;2021/04/27 20:24:30.000000000;1370194517618167809;2021/04/29 11:28:17.000000000
1387245470773940226;000000;1370194082995998721;XJSZ002;SZ001;1;0;1370194517618167809;1370188686411534338;2021/04/28 11:21:09.000000000;1370194517618167809;2021/04/28 11:21:09.000000000
1387249773165154305;000000;1370191762077880322;XJSZ002;GZ001;1;1;1370194517618167809;1370188686411534338;2021/04/28 11:38:14.000000000;1370194517618167809;2021/04/29 11:27:53.000000000
1387658402880032770;000000;1387300599244599298;XJSZ001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/29 14:41:59.000000000;1386244434160521218;2021/05/13 10:53:59.000000000
1387658714869141505;000000;1387300599244599298;KHJS002;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/29 14:43:14.000000000;1123598821738675201;2021/04/29 14:43:14.000000000
1387659154226679809;000000;1387300599244599298;XJSH001;SZ001;1;1;1123598821738675201;1123598813738675201;2021/04/29 14:44:58.000000000;1123598821738675201;2021/04/30 14:47:58.000000000
1387659410960027649;000000;1387300599244599298;SZ0001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/29 14:46:00.000000000;1386244434160521218;2021/05/13 10:54:24.000000000
1387699791315603458;000000;1387300599244599298;xjtest;cktest1;1;0;1387300599244599298;1367082156996792321;2021/04/29 17:26:27.000000000;1387300599244599298;2021/04/29 17:26:27.000000000
1388022410460008450;000000;1387300599244599298;XJSZ002;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 14:48:26.000000000;1123598821738675201;2021/04/30 14:48:26.000000000
1388022457490739201;000000;1387300599244599298;XJSZ003;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 14:48:37.000000000;1123598821738675201;2021/04/30 14:48:37.000000000
1388022546183491585;000000;1387300599244599298;KHSH001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 14:48:58.000000000;1123598821738675201;2021/04/30 14:48:58.000000000
1388022749431074817;000000;1387300599244599298;SZRJ001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 14:49:46.000000000;1123598821738675201;2021/04/30 14:49:46.000000000
1388027615310254081;000000;1388025392063393793;XJSZ001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:09:06.000000000;1123598821738675201;2021/04/30 15:09:06.000000000
1388027680863031298;000000;1388025392063393793;XJSZ002;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:09:22.000000000;1123598821738675201;2021/04/30 15:09:22.000000000
1388027729001058305;000000;1388025392063393793;XJSZ003;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:09:34.000000000;1123598821738675201;2021/04/30 15:09:34.000000000
1388027814963318785;000000;1388025392063393793;SZ0001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:09:54.000000000;1123598821738675201;2021/04/30 15:09:54.000000000
1388027874509852673;000000;1388025392063393793;KHSH001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:10:08.000000000;1123598821738675201;2021/04/30 15:10:08.000000000
1388028066046939138;000000;1388025392063393793;KHJS002;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:10:54.000000000;1123598821738675201;2021/04/30 15:10:54.000000000
1388028196410101762;000000;1388025392063393793;SZRJ001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:11:25.000000000;1123598821738675201;2021/04/30 15:11:25.000000000
1388028317411577857;000000;1388027300115197953;XJSZ001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:11:54.000000000;1123598821738675201;2021/04/30 15:11:54.000000000
1388028354472448002;000000;1388027300115197953;XJSZ002;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:12:03.000000000;1123598821738675201;2021/04/30 15:12:03.000000000
1388028400190361601;000000;1388027300115197953;XJSZ003;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:12:14.000000000;1123598821738675201;2021/04/30 15:12:14.000000000
1388028465487286273;000000;1388027300115197953;SZ0001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:12:29.000000000;1123598821738675201;2021/04/30 15:12:29.000000000
1388028516947202049;000000;1388027300115197953;KHJS002;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:12:41.000000000;1123598821738675201;2021/04/30 15:12:41.000000000
1388028657397665794;000000;1388027300115197953;KHSH001;SZ001;1;0;1123598821738675201;1123598813738675201;2021/04/30 15:13:15.000000000;1123598821738675201;2021/04/30 15:13:15.000000000
